evidence_relation_error,finalizer,interaction,sender_feedback_format,artifact_format,unconditional_coverage,timely_safe_world_coverage,selective_risk,false_safe_rate,harmful_acceptance_probability,expected_evidence_payload_bytes,expected_evidence_payload_kib,mean_safe_world_evidence_traffic_bytes,mean_safe_world_evidence_traffic_kib,p95_action_ready_latency_ms,local_reuse_probability,deadline_caused_abstention_probability,evidence_insufficient_abstention_probability,expired_evidence_abstention_probability,transport_abstention_probability,safe_world_reject_probability,safe_world_abstention_probability,finalization_failure_probability,unconstrained_safe_accept_probability,logical_message_count
0.05,receiver,one_way,reference_manifest,reference_manifest,0.6210863559048121,0.7649260474453151,0.002409097317757057,0.00787503933739886,0.0014962574741057878,10036.224000000013,9.801000000000013,10036.224,9.801,11.40112,0.759891300670944,0.0,0.062162571071923016,0.0,0.007164776024999997,0.16574660545775985,0.06932734709692301,0.0,0.7649260474453151,1
0.05,receiver,feedback,reference_manifest,reference_manifest,0.6210863559048121,0.7649260474453151,0.002409097317757057,0.00787503933739886,0.0014962574741057878,2643.477107040003,2.581520612343753,1824.5882204351956,1.7818244340187457,11.8192,0.759891300670944,0.0,0.062162571071923016,0.0,0.007164776024999997,0.16574660545775985,0.06932734709692301,0.0,0.7649260474453151,2
0.1,sender,one_way,reference_manifest,reference_manifest,0.5284675285560001,0.6366131739000039,0.024241522903033896,0.06742556682631531,0.012810857696999996,10036.224000000031,9.80100000000003,10036.224000000064,9.801000000000062,11.40112,0.0,0.0,0.18669520000000106,0.0,0.0064304361000000485,0.17026119000000103,0.19312563610000125,0.0,0.6366131739000039,1
0.1,sender,feedback,reference_manifest,reference_manifest,0.5115928239419154,0.6274138710312969,0.006621649577619159,0.01782941266614713,0.003387588406567977,8654.465501386492,8.451626466197746,9130.639697910585,8.916640329990805,11.90112,0.10094520341855498,0.0,0.056490171887713596,0.0,0.006337513848800988,0.3097584432321961,0.06282768573651457,0.0,0.6274138710312969,2
0.1,receiver,one_way,reference_manifest,reference_manifest,0.511422372380157,0.6273209487800978,0.006437739227085344,0.017328441412004014,0.0032924038682807847,10036.224000000031,9.80100000000003,10036.224000000064,9.801000000000062,11.40112,0.6228022286834323,0.0,0.056490171887713575,0.0,0.006430436100000047,0.3097584432321959,0.06292060798771361,0.0,0.6273209487800978,1
0.1,receiver,feedback,reference_manifest,reference_manifest,0.511422372380157,0.6273209487800978,0.006437739227085344,0.017328441412004014,0.0032924038682807847,3394.125253094383,3.3145754424749834,2666.224020556808,2.6037343950750076,11.8192,0.6228022286834323,0.0,0.056490171887713575,0.0,0.006430436100000047,0.3097584432321959,0.06292060798771361,0.0,0.6273209487800978,2
0.15,sender,one_way,reference_manifest,reference_manifest,0.47816722839600007,0.5678432322750032,0.03809171597633136,0.09586426449078958,0.018214210253250002,10036.223999999978,9.800999999999979,10036.22400000008,9.801000000000078,11.40112,0.0,0.0,0.17698330000000095,0.0,0.005735790225000039,0.24943767750000131,0.18271909022500094,0.0,0.5678432322750032,1
0.15,sender,feedback,reference_manifest,reference_manifest,0.41823783516619606,0.5097131082532788,0.01284010443222711,0.0282643025318029,0.005370217481042545,8373.845823878864,8.177583812381704,8685.108373103352,8.481551145608742,11.90112,0.08570341862413088,0.0,0.05109187664636367,0.0,0.005148617255083629,0.4340463978452786,0.05624049390144729,0.0,0.5097131082532788,2
0.15,receiver,one_way,reference_manifest,reference_manifest,0.4176324877598344,0.5091259352833624,0.012548066383491674,0.02758147463322727,0.005240480180313176,10036.223999999978,9.800999999999979,10036.22400000008,9.801000000000078,11.40112,0.5050953485304723,0.0,0.05109187664636367,0.0,0.005735790225000039,0.4340463978452782,0.0568276668713637,0.0,0.5091259352833624,1
0.15,receiver,feedback,reference_manifest,reference_manifest,0.4176324877598344,0.5091259352833624,0.012548066383491674,0.02758147463322727,0.005240480180313176,4099.279572115197,4.003202707143747,3462.365993644819,3.3812167906687685,11.8192,0.5050953485304723,0.0,0.05109187664636367,0.0,0.005735790225000039,0.4340463978452782,0.0568276668713637,0.0,0.5091259352833624,2
0.2,sender,one_way,reference_manifest,reference_manifest,0.43038194324400025,0.5030030016000003,0.05332359386413437,0.1207869049894737,0.022949511948,10036.223999999982,9.800999999999982,10036.223999999986,9.800999999999986,11.40112,0.0,0.0,0.1672714000000004,0.0,0.005080838400000007,0.3246447599999996,0.1723522384000005,0.0,0.5030030016000003,1
0.2,sender,feedback,reference_manifest,reference_manifest,0.33896222155075073,0.409374726030072,0.021738981508560462,0.03878259719153866,0.007368693466392345,8200.300777691498,8.008106228214354,8381.832176236927,8.185382984606374,11.90112,0.07207525715538278,0.0,0.04596768534787368,0.0,0.004135098242728005,0.5405224903793256,0.050102783590601684,0.0,0.409374726030072,2
0.2,receiver,one_way,reference_manifest,reference_manifest,0.33803879001849574,0.4084289858728001,0.021332792787280584,0.03795427085014538,0.007211311461527622,10036.223999999982,9.800999999999982,10036.223999999986,9.800999999999986,11.40112,0.4048586391297557,0.0,0.04596768534787368,0.0,0.005080838400000007,0.5405224903793255,0.051048523747873706,0.0,0.4084289858728001,1
0.2,receiver,feedback,reference_manifest,reference_manifest,0.33803879001849574,0.4084289858728001,0.021332792787280584,0.03795427085014538,0.007211311461527622,4758.940064102411,4.647402406350011,4213.014139699197,4.114271620799997,11.8192,0.4048586391297557,0.0,0.04596768534787368,0.0,0.005080838400000007,0.5405224903793255,0.051048523747873706,0.0,0.4084289858728001,2
