finalizer,coverage_floor,selective_risk_ceiling,selected_interaction,selection_basis,one_way_coverage,feedback_coverage,one_way_selective_risk,feedback_selective_risk,one_way_traffic_kib,feedback_traffic_kib
receiver,0.6,0.004,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.6,0.005,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.6,0.0075,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.6,0.01,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.625,0.001,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.625,0.002,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.625,0.003,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.625,0.004,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.625,0.005,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.625,0.0075,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.625,0.01,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.65,0.001,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.65,0.002,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.65,0.003,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.65,0.004,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.65,0.005,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.65,0.0075,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.65,0.01,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.675,0.001,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.675,0.002,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.675,0.003,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.675,0.004,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.675,0.005,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.675,0.0075,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.675,0.01,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.7,0.001,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.7,0.002,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.7,0.003,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.7,0.004,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.7,0.005,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.7,0.0075,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
receiver,0.7,0.01,infeasible,no_communication_case_meets_requirements,0.511422372380157,0.511422372380157,0.006437739227085344,0.006437739227085344,9.801000000000062,2.6037343950750076
