finalizer,receiver_evidence_availability,visual_record_kib,feedback_evidence_traffic_saving_percent,one_way_timely_coverage,feedback_timely_coverage,feedback_false_safe_rate,feedback_local_reuse_probability,baseline_operating_point
receiver,0.95,5,69.26938270992984,0.6381764468464666,0.6381764468464666,0.01575246616964117,0.6370790069944581,False
receiver,0.4,10,31.539826291230533,0.5920761959906875,0.5920761959906875,0.03991752852673568,0.3898711278475008,False
receiver,0.5,10,38.754787499999885,0.5936665714363712,0.5936665714363712,0.03484886959134348,0.45675395601641816,False
receiver,0.6,10,45.84928629123037,0.5975186123707252,0.5975186123707252,0.030034785679317964,0.5124344745537887,False
receiver,0.7,10,52.81536765016423,0.6038043537286076,0.6038043537286076,0.02546575370297426,0.5576720048113867,False
receiver,0.75,10,56.24221580717441,0.6080233359459887,0.6080233359459887,0.023281875521312816,0.5767116476822667,False
receiver,0.8,10,59.622749999999904,0.6131375227771806,0.6131375227771806,0.021178785566392383,0.5936412443264931,False
receiver,0.9,10,66.18125250000027,0.6273209487800978,0.6273209487800978,0.017328441412004014,0.6228022286834323,True
receiver,0.95,10,69.26938270992983,0.6381764468464666,0.6381764468464666,0.01575246616964117,0.6370790069944581,False
receiver,0.4,20,31.539826291230646,0.5920761959906875,0.5920761959906875,0.03991752852673568,0.3898711278475008,False
receiver,0.5,20,38.75478750000003,0.5936665714363712,0.5936665714363712,0.03484886959134348,0.45675395601641816,False
receiver,0.6,20,45.84928629123035,0.5975186123707252,0.5975186123707252,0.030034785679317964,0.5124344745537887,False
receiver,0.7,20,52.8153676501642,0.6038043537286076,0.6038043537286076,0.02546575370297426,0.5576720048113867,False
receiver,0.75,20,56.24221580717456,0.6080233359459887,0.6080233359459887,0.023281875521312816,0.5767116476822667,False
receiver,0.8,20,59.62275000000011,0.6131375227771806,0.6131375227771806,0.021178785566392383,0.5936412443264931,False
receiver,0.9,20,66.18125249999999,0.6273209487800978,0.6273209487800978,0.017328441412004014,0.6228022286834323,False
receiver,0.95,20,69.26938270992991,0.6381764468464666,0.6381764468464666,0.01575246616964117,0.6370790069944581,False
receiver,0.4,32,31.539826291230494,0.5920761959906875,0.5920761959906875,0.03991752852673568,0.3898711278475008,False
receiver,0.5,32,38.754787499999956,0.5936665714363712,0.5936665714363712,0.03484886959134348,0.45675395601641816,False
receiver,0.6,32,45.84928629123063,0.5975186123707252,0.5975186123707252,0.030034785679317964,0.5124344745537887,False
receiver,0.7,32,52.815367650164355,0.6038043537286076,0.6038043537286076,0.02546575370297426,0.5576720048113867,False
receiver,0.75,32,56.2422158071745,0.6080233359459887,0.6080233359459887,0.023281875521312816,0.5767116476822667,False
receiver,0.8,32,59.62275000000013,0.6131375227771806,0.6131375227771806,0.021178785566392383,0.5936412443264931,False
receiver,0.9,32,66.18125249999989,0.6273209487800978,0.6273209487800978,0.017328441412004014,0.6228022286834323,False
receiver,0.95,32,69.26938270992994,0.6381764468464666,0.6381764468464666,0.01575246616964117,0.6370790069944581,False
