parameter,value,evidence_assembly,required_evidence_set,interaction,artifact_format,finalizer,finalizer_available_probability,handoff_required,handoff_success_probability,handoff_delay_ms,handoff_control_bytes,unconditional_coverage,timely_safe_world_coverage,selective_risk,false_safe_rate,finalization_failure_probability,expired_evidence_abstention_probability,deadline_abstention_probability,other_evidence_abstention_probability,mean_safe_world_total_traffic_kib,p95_action_ready_latency_ms
handoff_delay_ms,0.5,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,False,1.0,0.0,0,0.5037510367944548,0.6179111345483926,0.006437739227085346,0.017068514790824094,0.009409814231701416,0.0,0.0,0.06292060798771322,9.801000000000002,11.40112
handoff_delay_ms,1.0,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,False,1.0,0.0,0,0.5258251909132202,0.6334301080305001,0.0242415229030339,0.06708843899218427,0.0031830658695000025,0.0,0.0,0.19312563610000005,9.801000000000002,11.40112
handoff_delay_ms,1.0,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,True,0.98,1.0,64,0.5101297053151069,0.6145226967656701,0.024241522903033903,0.06508589965744269,0.022090477134330034,0.0,0.0,0.19312563610000005,9.840788323368752,12.40112
handoff_delay_ms,1.0,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,True,0.98,1.0,64,0.498687955307891,0.6117006571554695,0.00643773922708534,0.01689696322084523,0.015620291624624357,0.0,0.0,0.06292060798771322,9.840207559298761,12.40112
handoff_delay_ms,1.0,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,False,1.0,0.0,0,0.5037510367944548,0.6179111345483926,0.006437739227085346,0.017068514790824094,0.009409814231701416,0.0,0.0,0.06292060798771322,9.801000000000002,11.40112
handoff_delay_ms,2.0,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,False,1.0,0.0,0,0.5258251909132202,0.6334301080305001,0.0242415229030339,0.06708843899218427,0.0031830658695000025,0.0,0.0,0.19312563610000005,9.801000000000002,11.40112
handoff_delay_ms,2.0,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,True,0.98,2.0,64,0.5101297053151069,0.6145226967656701,0.024241522903033903,0.06508589965744269,0.022090477134330034,0.0,0.0,0.19312563610000005,9.840788323368752,13.40112
handoff_delay_ms,2.0,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,True,0.98,2.0,64,0.498687955307891,0.6117006571554695,0.00643773922708534,0.01689696322084523,0.015620291624624357,0.0,0.0,0.06292060798771322,9.840207559298761,13.40112
handoff_delay_ms,2.0,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,False,1.0,0.0,0,0.5037510367944548,0.6179111345483926,0.006437739227085346,0.017068514790824094,0.009409814231701416,0.0,0.0,0.06292060798771322,9.801000000000002,11.40112
handoff_delay_ms,5.0,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,False,1.0,0.0,0,0.5258251909132202,0.6334301080305001,0.0242415229030339,0.06708843899218427,0.0031830658695000025,0.0,0.0,0.19312563610000005,9.801000000000002,11.40112
handoff_delay_ms,5.0,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,True,0.98,5.0,64,0.0,0.0,0.0,0.0,0.0,0.8116118999999986,0.0,0.09928810000000009,9.801000000000002,
handoff_delay_ms,5.0,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,True,0.98,5.0,64,0.0,0.0,0.0,0.0,0.0,0.8018942728306374,0.0,0.02887446634436003,9.801000000000002,
handoff_delay_ms,5.0,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,False,1.0,0.0,0,0.5037510367944548,0.6179111345483926,0.006437739227085346,0.017068514790824094,0.009409814231701416,0.0,0.0,0.06292060798771322,9.801000000000002,11.40112
handoff_control_bytes,0.0,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,False,1.0,0.0,0,0.5258251909132202,0.6334301080305001,0.0242415229030339,0.06708843899218427,0.0031830658695000025,0.0,0.0,0.19312563610000005,9.801000000000002,11.40112
handoff_control_bytes,0.0,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,True,0.98,1.0,0,0.5101297053151069,0.6145226967656701,0.024241522903033903,0.06508589965744269,0.022090477134330034,0.0,0.0,0.19312563610000005,9.801000000000002,12.40112
handoff_control_bytes,0.0,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,True,0.98,1.0,0,0.498687955307891,0.6117006571554695,0.00643773922708534,0.01689696322084523,0.015620291624624357,0.0,0.0,0.06292060798771322,9.801000000000002,12.40112
handoff_control_bytes,0.0,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,False,1.0,0.0,0,0.5037510367944548,0.6179111345483926,0.006437739227085346,0.017068514790824094,0.009409814231701416,0.0,0.0,0.06292060798771322,9.801000000000002,11.40112
handoff_control_bytes,32.0,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,False,1.0,0.0,0,0.5258251909132202,0.6334301080305001,0.0242415229030339,0.06708843899218427,0.0031830658695000025,0.0,0.0,0.19312563610000005,9.801000000000002,11.40112
handoff_control_bytes,32.0,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,True,0.98,1.0,32,0.5101297053151069,0.6145226967656701,0.024241522903033903,0.06508589965744269,0.022090477134330034,0.0,0.0,0.19312563610000005,9.82089416168438,12.40112
handoff_control_bytes,32.0,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,True,0.98,1.0,32,0.498687955307891,0.6117006571554695,0.00643773922708534,0.01689696322084523,0.015620291624624357,0.0,0.0,0.06292060798771322,9.820603779649382,12.40112
handoff_control_bytes,32.0,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,False,1.0,0.0,0,0.5037510367944548,0.6179111345483926,0.006437739227085346,0.017068514790824094,0.009409814231701416,0.0,0.0,0.06292060798771322,9.801000000000002,11.40112
handoff_control_bytes,64.0,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,False,1.0,0.0,0,0.5258251909132202,0.6334301080305001,0.0242415229030339,0.06708843899218427,0.0031830658695000025,0.0,0.0,0.19312563610000005,9.801000000000002,11.40112
handoff_control_bytes,64.0,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,True,0.98,1.0,64,0.5101297053151069,0.6145226967656701,0.024241522903033903,0.06508589965744269,0.022090477134330034,0.0,0.0,0.19312563610000005,9.840788323368752,12.40112
handoff_control_bytes,64.0,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,True,0.98,1.0,64,0.498687955307891,0.6117006571554695,0.00643773922708534,0.01689696322084523,0.015620291624624357,0.0,0.0,0.06292060798771322,9.840207559298761,12.40112
handoff_control_bytes,64.0,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,False,1.0,0.0,0,0.5037510367944548,0.6179111345483926,0.006437739227085346,0.017068514790824094,0.009409814231701416,0.0,0.0,0.06292060798771322,9.801000000000002,11.40112
handoff_control_bytes,128.0,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,False,1.0,0.0,0,0.5258251909132202,0.6334301080305001,0.0242415229030339,0.06708843899218427,0.0031830658695000025,0.0,0.0,0.19312563610000005,9.801000000000002,11.40112
handoff_control_bytes,128.0,sender,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,True,0.98,1.0,128,0.5101297053151069,0.6145226967656701,0.024241522903033903,0.06508589965744269,0.022090477134330034,0.0,0.0,0.19312563610000005,9.8805766467375,12.40112
handoff_control_bytes,128.0,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,sender,0.995,True,0.98,1.0,128,0.498687955307891,0.6117006571554695,0.00643773922708534,0.01689696322084523,0.015620291624624357,0.0,0.0,0.06292060798771322,9.87941511859751,12.40112
handoff_control_bytes,128.0,receiver,visual_clearance+radio_no_motion,one_way,reference_manifest,receiver,0.985,False,1.0,0.0,0,0.5037510367944548,0.6179111345483926,0.006437739227085346,0.017068514790824094,0.009409814231701416,0.0,0.0,0.06292060798771322,9.801000000000002,11.40112
