finalizer,interaction,parameter,metric,spearman_rank_correlation,absolute_rank_correlation,sample_count
receiver,one_way,link_rate_mbps,mean_safe_world_evidence_traffic_kib,-0.12967032967032965,0.12967032967032965,64
receiver,one_way,fixed_per_message_latency_ms,timely_safe_world_coverage,0.01195821743301989,0.01195821743301989,64
receiver,one_way,fixed_per_message_latency_ms,mean_safe_world_evidence_traffic_kib,-0.045604395604395595,0.045604395604395595,64
receiver,one_way,processing_time_ms,timely_safe_world_coverage,-0.11944472355510671,0.11944472355510671,64
receiver,one_way,processing_time_ms,mean_safe_world_evidence_traffic_kib,0.1345238095238095,0.1345238095238095,64
receiver,one_way,decision_deadline_ms,timely_safe_world_coverage,0.014432331384679177,0.014432331384679177,64
receiver,one_way,decision_deadline_ms,mean_safe_world_evidence_traffic_kib,0.022115384615384613,0.022115384615384613,64
receiver,one_way,visual_initial_age_ms,timely_safe_world_coverage,-0.09539083791397475,0.09539083791397475,64
receiver,one_way,visual_initial_age_ms,mean_safe_world_evidence_traffic_kib,0.04235347985347985,0.04235347985347985,64
receiver,one_way,radio_initial_age_ms,timely_safe_world_coverage,-0.0886557499344578,0.0886557499344578,64
receiver,one_way,radio_initial_age_ms,mean_safe_world_evidence_traffic_kib,0.08717948717948716,0.08717948717948716,64
receiver,one_way,record_ttl_ms,timely_safe_world_coverage,0.23632369930849267,0.23632369930849267,64
receiver,one_way,record_ttl_ms,mean_safe_world_evidence_traffic_kib,-0.12138278388278387,0.12138278388278387,64
receiver,feedback,evidence_availability,timely_safe_world_coverage,0.44466517661179766,0.44466517661179766,64
receiver,feedback,evidence_availability,mean_safe_world_evidence_traffic_kib,0.2899267399267399,0.2899267399267399,64
receiver,feedback,conditional_validity,timely_safe_world_coverage,0.10185940197187768,0.10185940197187768,64
receiver,feedback,conditional_validity,mean_safe_world_evidence_traffic_kib,0.31712454212454205,0.31712454212454205,64
receiver,feedback,evidence_relation_error,timely_safe_world_coverage,-0.6222650081706957,0.6222650081706957,64
receiver,feedback,evidence_relation_error,mean_safe_world_evidence_traffic_kib,0.3573717948717948,0.3573717948717948,64
receiver,feedback,endpoint_correlation,timely_safe_world_coverage,-0.216663531909537,0.216663531909537,64
receiver,feedback,endpoint_correlation,mean_safe_world_evidence_traffic_kib,-0.2422161172161172,0.2422161172161172,64
receiver,feedback,forward_delivery_success,timely_safe_world_coverage,0.1682355602645028,0.1682355602645028,64
receiver,feedback,forward_delivery_success,mean_safe_world_evidence_traffic_kib,0.08988095238095237,0.08988095238095237,64
receiver,feedback,reverse_delivery_success,timely_safe_world_coverage,0.12751934145014698,0.12751934145014698,64
receiver,feedback,reverse_delivery_success,mean_safe_world_evidence_traffic_kib,0.1482142857142857,0.1482142857142857,64
receiver,feedback,visual_record_kib,timely_safe_world_coverage,0.20312206116519094,0.20312206116519094,64
receiver,feedback,visual_record_kib,mean_safe_world_evidence_traffic_kib,0.8660256410256408,0.8660256410256408,64
receiver,feedback,radio_record_kib,timely_safe_world_coverage,-0.031581463973254544,0.031581463973254544,64
receiver,feedback,radio_record_kib,mean_safe_world_evidence_traffic_kib,-0.1735347985347985,0.1735347985347985,64
receiver,feedback,link_rate_mbps,timely_safe_world_coverage,-0.1288046335885934,0.1288046335885934,64
receiver,feedback,link_rate_mbps,mean_safe_world_evidence_traffic_kib,-0.09299450549450548,0.09299450549450548,64
receiver,feedback,fixed_per_message_latency_ms,timely_safe_world_coverage,-0.08496699100943919,0.08496699100943919,64
receiver,feedback,fixed_per_message_latency_ms,mean_safe_world_evidence_traffic_kib,-0.09702380952380951,0.09702380952380951,64
receiver,feedback,processing_time_ms,timely_safe_world_coverage,-0.13665409629124822,0.13665409629124822,64
receiver,feedback,processing_time_ms,mean_safe_world_evidence_traffic_kib,0.11437728937728936,0.11437728937728936,64
receiver,feedback,decision_deadline_ms,timely_safe_world_coverage,-0.005829717913667627,0.005829717913667627,64
receiver,feedback,decision_deadline_ms,mean_safe_world_evidence_traffic_kib,-0.005815018315018314,0.005815018315018314,64
receiver,feedback,visual_initial_age_ms,timely_safe_world_coverage,-0.10360372701691208,0.10360372701691208,64
receiver,feedback,visual_initial_age_ms,mean_safe_world_evidence_traffic_kib,0.04995421245421244,0.04995421245421244,64
receiver,feedback,radio_initial_age_ms,timely_safe_world_coverage,-0.09800352555653846,0.09800352555653846,64
receiver,feedback,radio_initial_age_ms,mean_safe_world_evidence_traffic_kib,0.005265567765567765,0.005265567765567765,64
receiver,feedback,record_ttl_ms,timely_safe_world_coverage,0.298233679410225,0.298233679410225,64
receiver,feedback,record_ttl_ms,mean_safe_world_evidence_traffic_kib,-0.13489010989010985,0.13489010989010985,64
