sample_id,evidence_availability,conditional_validity,evidence_relation_error,endpoint_correlation,forward_delivery_success,reverse_delivery_success,visual_record_kib,radio_record_kib,link_rate_mbps,fixed_per_message_latency_ms,processing_time_ms,decision_deadline_ms,visual_initial_age_ms,radio_initial_age_ms,record_ttl_ms,finalizer,interaction,sender_feedback_format,artifact_format,unconditional_coverage,timely_safe_world_coverage,selective_risk,false_safe_rate,harmful_acceptance_probability,expected_evidence_payload_bytes,expected_evidence_payload_kib,mean_safe_world_evidence_traffic_bytes,mean_safe_world_evidence_traffic_kib,p95_action_ready_latency_ms,local_reuse_probability,deadline_caused_abstention_probability,evidence_insufficient_abstention_probability,expired_evidence_abstention_probability,transport_abstention_probability,safe_world_reject_probability,safe_world_abstention_probability,finalization_failure_probability,unconstrained_safe_accept_probability,logical_message_count
34,0.778125,0.997890625,0.08828125,0.0796875,0.988984375,0.994609375,7.875,1.28515625,185.9375,2.20546875,13.984375,37.6953125,23.015625,21.0703125,45.15625,sender,feedback,reference_manifest,reference_manifest,0.5220239885250526,0.638597683250086,0.009118096480453261,0.025051921539381357,0.004759865092482456,7003.841149354121,6.8396886224161335,7439.099431173331,7.264745538255206,18.798888970588237,0.20964599479593277,0.0,0.1078245178956708,0.0,0.007112905706474597,0.24646489314776737,0.11493742360214539,0.0,0.638597683250086,2
34,0.778125,0.997890625,0.08828125,0.0796875,0.988984375,0.994609375,7.875,1.28515625,185.9375,2.20546875,13.984375,37.6953125,23.015625,21.0703125,45.15625,receiver,one_way,reference_manifest,reference_manifest,0.5226302601376451,0.6393724325887925,0.009066810902749313,0.02493994600380375,0.00473858974072271,7283.416567382804,7.112711491584769,7283.416567382801,7.112711491584767,16.593420220588236,0.6183649233391987,0.0,0.10928705508460947,0.0,0.005520717677128021,0.24581979464946901,0.1148077727617375,0.0,0.6393724325887925,1
34,0.778125,0.997890625,0.08828125,0.0796875,0.988984375,0.994609375,7.875,1.28515625,185.9375,2.20546875,13.984375,37.6953125,23.015625,21.0703125,45.15625,receiver,feedback,reference_manifest,reference_manifest,0.5226302601376451,0.6393724325887925,0.009066810902749313,0.02493994600380375,0.00473858974072271,2975.2335035079345,2.9055014682694673,2501.5281337141287,2.442898568080204,18.742267794117648,0.6183649233391987,0.0,0.10928705508460947,0.0,0.005520717677128021,0.24581979464946901,0.1148077727617375,0.0,0.6393724325887925,2
35,0.849375,0.996953125,0.14765625,0.0234375,0.978203125,0.989921875,13.625,1.07421875,148.4375,3.3539062500000005,11.171875,32.2265625,11.859375,6.7265625,49.53125,sender,one_way,reference_manifest,reference_manifest,0.42879738302612247,0.5095737337645024,0.0374131450235495,0.08443504566776223,0.01604265867687482,12745.838835351578,12.447108237648026,12745.838835351547,12.447108237647996,15.337004828947368,0.0,0.0,0.2446382040178171,0.0,0.011354609992835756,0.23443345222484244,0.2559928140106528,0.0,0.5095737337645024,1
35,0.849375,0.996953125,0.14765625,0.0234375,0.978203125,0.989921875,13.625,1.07421875,148.4375,3.3539062500000005,11.171875,32.2265625,11.859375,6.7265625,49.53125,sender,feedback,reference_manifest,reference_manifest,0.43975458383748556,0.5342223185520496,0.01599643544119205,0.03702371479118219,0.0070345058103246155,11412.37184912757,11.144894383913643,11902.558571262924,11.623592354748949,18.69091107894737,0.14336437153477627,0.0,0.04187323260770496,0.0,0.011903843692678082,0.41200060514756565,0.05377707630038302,0.0,0.5342223185520496,2
35,0.849375,0.996953125,0.14765625,0.0234375,0.978203125,0.989921875,13.625,1.07421875,148.4375,3.3539062500000005,11.171875,32.2265625,11.859375,6.7265625,49.53125,receiver,one_way,reference_manifest,reference_manifest,0.4398661361147064,0.5344732590806262,0.01578388443521366,0.036541032944202564,0.006942796259398486,12745.838835351578,12.447108237648026,12745.838835351547,12.447108237647996,15.337004828947368,0.5230546693564605,0.0,0.044273575572862926,0.0,0.011354609992835756,0.4098985553536737,0.05562818556569868,0.0,0.5344732590806262,1
35,0.849375,0.996953125,0.14765625,0.0234375,0.978203125,0.989921875,13.625,1.07421875,148.4375,3.3539062500000005,11.171875,32.2265625,11.859375,6.7265625,49.53125,receiver,feedback,reference_manifest,reference_manifest,0.4398661361147064,0.5344732590806262,0.01578388443521366,0.036541032944202564,0.006942796259398486,5707.6210246092105,5.573848656844932,4951.586809218721,4.835533993377657,18.631626868421055,0.5230546693564605,0.0,0.044273575572862926,0.0,0.011354609992835756,0.4098985553536737,0.05562818556569868,0.0,0.5344732590806262,2
36,0.965625,0.989453125,0.13984375,0.2859375,0.976796875,0.973046875,17.375,0.79296875,182.8125,2.3585937500000003,5.390625,33.0078125,22.359375,21.3359375,45.46875,sender,one_way,reference_manifest,reference_manifest,0.5538624475556648,0.6597302705161925,0.035172863810364136,0.10253120230289696,0.019480928437550348,17775.018295898448,17.358416304588328,17775.018295898444,17.358416304588324,8.56334251068376,0.0,0.0,0.07522576117061798,0.0,0.01567143008424451,0.2493725382289472,0.0908971912548624,0.0,0.6597302705161925,1
36,0.965625,0.989453125,0.13984375,0.2859375,0.976796875,0.973046875,17.375,0.79296875,182.8125,2.3585937500000003,5.390625,33.0078125,22.359375,21.3359375,45.46875,sender,feedback,reference_manifest,reference_manifest,0.43944758596052363,0.53759996821167,0.009083248689027237,0.021008482679326975,0.00399161170907211,14370.049913219133,14.03325186837806,14937.784781724828,14.587680450903152,10.921936260683761,0.039465676900198456,0.0,0.01838203688519821,0.0,0.012770310370220417,0.4312476845329141,0.031152347255418614,0.0,0.53759996821167,2
36,0.965625,0.989453125,0.13984375,0.2859375,0.976796875,0.973046875,17.375,0.79296875,182.8125,2.3585937500000003,5.390625,33.0078125,22.359375,21.3359375,45.46875,receiver,one_way,reference_manifest,reference_manifest,0.43627832644624637,0.5342169931578715,0.008165800986243874,0.018750326254587363,0.0035625619883715856,17775.018295898448,17.358416304588328,17775.018295898444,17.358416304588324,8.56334251068376,0.5334164764764756,0.0,0.018162968337169298,0.0,0.01567143008424451,0.43194860842071797,0.03383439842141382,0.0,0.5342169931578715,1
