parameter,value,finalizer,interaction,sender_feedback_format,artifact_format,unconditional_coverage,timely_safe_world_coverage,selective_risk,false_safe_rate,harmful_acceptance_probability,expected_evidence_payload_bytes,expected_evidence_payload_kib,mean_safe_world_evidence_traffic_bytes,mean_safe_world_evidence_traffic_kib,p95_action_ready_latency_ms,local_reuse_probability,deadline_caused_abstention_probability,evidence_insufficient_abstention_probability,expired_evidence_abstention_probability,transport_abstention_probability,safe_world_reject_probability,safe_world_abstention_probability,finalization_failure_probability,unconstrained_safe_accept_probability,logical_message_count
endpoint_correlation,0.0,receiver,one_way,reference_manifest,reference_manifest,0.5403793124789968,0.6622024834042197,0.00739351198189526,0.021027899587272456,0.003995300921581786,10036.224000000013,9.801000000000013,10036.224000000098,9.801000000000096,11.40112,0.6546388822851138,0.0,0.021246296487797946,0.0,0.006430436100000042,0.31012078400798815,0.027676732587798025,0.0,0.6622024834042197,1
endpoint_correlation,0.0,receiver,feedback,reference_manifest,reference_manifest,0.5403793124789968,0.6622024834042197,0.00739351198189526,0.021027899587272456,0.003995300921581786,3573.64143544319,3.48988421429999,2865.4132091904057,2.7982550871000056,11.8192,0.6546388822851138,0.0,0.021246296487797946,0.0,0.006430436100000042,0.31012078400798815,0.027676732587798025,0.0,0.6622024834042197,2
endpoint_correlation,0.25,sender,one_way,reference_manifest,reference_manifest,0.5284675285560001,0.6366131739000039,0.024241522903033896,0.06742556682631531,0.012810857696999996,10036.224000000031,9.80100000000003,10036.224000000064,9.801000000000062,11.40112,0.0,0.0,0.18669520000000106,0.0,0.0064304361000000485,0.17026119000000103,0.19312563610000125,0.0,0.6366131739000039,1
endpoint_correlation,0.25,sender,feedback,reference_manifest,reference_manifest,0.5115928239419154,0.6274138710312969,0.006621649577619159,0.01782941266614713,0.003387588406567977,8654.465501386492,8.451626466197746,9130.639697910585,8.916640329990805,11.90112,0.10094520341855498,0.0,0.056490171887713596,0.0,0.006337513848800988,0.3097584432321961,0.06282768573651457,0.0,0.6274138710312969,2
endpoint_correlation,0.25,receiver,one_way,reference_manifest,reference_manifest,0.511422372380157,0.6273209487800978,0.006437739227085344,0.017328441412004014,0.0032924038682807847,10036.224000000031,9.80100000000003,10036.224000000064,9.801000000000062,11.40112,0.6228022286834323,0.0,0.056490171887713575,0.0,0.006430436100000047,0.3097584432321959,0.06292060798771361,0.0,0.6273209487800978,1
endpoint_correlation,0.25,receiver,feedback,reference_manifest,reference_manifest,0.511422372380157,0.6273209487800978,0.006437739227085344,0.017328441412004014,0.0032924038682807847,3394.125253094383,3.3145754424749834,2666.224020556808,2.6037343950750076,11.8192,0.6228022286834323,0.0,0.056490171887713575,0.0,0.006430436100000047,0.3097584432321959,0.06292060798771361,0.0,0.6273209487800978,2
endpoint_correlation,0.5,sender,one_way,reference_manifest,reference_manifest,0.5284675285559999,0.6366131739000033,0.024241522903033913,0.06742556682631597,0.012810857697,10036.223999999967,9.800999999999968,10036.22400000007,9.801000000000068,11.40112,0.0,0.0,0.18669520000000114,0.0,0.006430436100000044,0.17026119000000098,0.1931256361000012,0.0,0.6366131739000033,1
endpoint_correlation,0.5,sender,feedback,reference_manifest,reference_manifest,0.48371483845217905,0.5938154307565232,0.0056321190148213175,0.014338629154724981,0.0027243395393977392,8310.607518655654,8.115827654937162,8734.956360802908,8.53023082109659,11.90112,0.07017693672465596,0.0,0.0907904274106161,0.0,0.005998135664207314,0.309396006168659,0.09678856307482339,0.0,0.5938154307565232,2
endpoint_correlation,0.5,receiver,one_way,reference_manifest,reference_manifest,0.48326279107739295,0.5933831303207304,0.00542656204041126,0.013802397461072551,0.0026224555176037776,10036.223999999967,9.800999999999968,10036.22400000007,9.801000000000068,11.40112,0.591129360531831,0.0,0.0907904274106161,0.0,0.006430436100000044,0.309396006168659,0.09722086351061614,0.0,0.5933831303207304,1
endpoint_correlation,0.5,receiver,feedback,reference_manifest,reference_manifest,0.48326279107739295,0.5933831303207304,0.00542656204041126,0.013802397461072551,0.0026224555176037776,3214.6090707456146,3.1392666706500143,2467.0348319232194,2.409213703050019,11.8192,0.591129360531831,0.0,0.0907904274106161,0.0,0.006430436100000044,0.309396006168659,0.09722086351061614,0.0,0.5933831303207304,2
endpoint_correlation,0.75,sender,one_way,reference_manifest,reference_manifest,0.5284675285560001,0.6366131738999999,0.02424152290303391,0.06742556682631604,0.012810857697000003,10036.224000000013,9.801000000000013,10036.223999999991,9.800999999999991,11.40112,0.0,0.0,0.18669520000000017,0.0,0.006430436100000007,0.17026118999999945,0.19312563610000022,0.0,0.6366131738999999,1
